,train_loss,train_acc,val_loss,val_acc
0,0.9209755600061057,0.23581496949557246,0.8707486987113953,0.33673394747267393
1,0.8654094720786473,0.3361759650372573,0.8200238347053528,0.3739685799805099
2,0.818497931901014,0.3824422079362516,0.7810086011886597,0.4075734610118911
3,0.779020516658729,0.42547081918088375,0.752950131893158,0.43571844633725837
4,0.739984614669152,0.4686627825830921,0.7327162623405457,0.4565446487649245
5,0.7052708838908177,0.5046608681425919,0.721127450466156,0.46965342008320093
6,0.6768297789231786,0.5330978684318026,0.7162840962409973,0.476132167595002
7,0.6533119059958548,0.555940083712149,0.7124988436698914,0.4809820672672039
8,0.6341449484791396,0.5740514671014136,0.7100115418434143,0.4847414681151577
9,0.6178366451893212,0.5889408886630082,0.7089733481407166,0.4866229804046793
