,train_loss,train_acc,val_loss,val_acc
0,0.9287082704733003,0.21301605821519776,0.8639544248580933,0.3653044232402307
1,0.8767228820976222,0.32856193389494837,0.8069739937782288,0.396004917295794
2,0.8293195822328892,0.3750360785092061,0.7662493586540222,0.4230684297157437
3,0.7899268196438843,0.4164523734635885,0.7410151958465576,0.4473513393167212
4,0.7583312583419511,0.45099424340746147,0.7228482961654663,0.46771099526103677
5,0.732542725525937,0.4786531385569026,0.708642303943634,0.48429607158538185
6,0.7087442375860125,0.5036011643260274,0.6977695226669312,0.49716907214320116
7,0.6879964023828506,0.5242169651029485,0.6898854374885559,0.5067085827155935
8,0.6702624199525365,0.5417559700099287,0.6841166615486145,0.5137304589265624
9,0.6532928793216651,0.557717265504305,0.6796398758888245,0.5192580247980312
