,train_loss,train_acc,val_loss,val_acc
0,0.9014818055607449,0.26349511761404193,0.9130725860595703,0.3780617832652319
1,0.8429923205175133,0.3557610251360999,0.8622697591781616,0.391215356587871
2,0.7939320560370651,0.4013194236481355,0.8292748332023621,0.4103243244373995
3,0.7557171978683115,0.4407400979853597,0.806599497795105,0.43130103774134343
4,0.7233451134133562,0.4754924979126762,0.7888305187225342,0.44961132022486816
5,0.6957188777834455,0.5041618348171333,0.7757140398025513,0.4631910466389628
6,0.6717721686184963,0.5279596570646105,0.7658637762069702,0.47324392482753574
7,0.6498403884818621,0.5491473724447313,0.7588841915130615,0.4804764260837275
8,0.6328766894674747,0.565363605746532,0.7559598088264465,0.48363372838896057
9,0.6149932941265195,0.5816306986842068,0.7552351355552673,0.48473402498828544
